,city,Lat,Lon,Wind Speed,Humidity,Temperature,Cloud Cover
0,San Patricio,-26.98,-56.83,4.76,95,72.31,76
1,Ushuaia,-54.81,-68.31,19.46,50,51.8,40
2,Nanortalik,60.14,-45.24,42.12,92,37.12,100
3,Abha,18.22,42.5,1.74,82,66.2,0
4,Pevek,69.7,170.27,7.78,100,8.5,24
5,Rio Novo do Sul,-20.86,-40.94,13.71,100,73.21,100
6,Sulangan,11.14,123.72,11.03,100,82.3,68
7,East Wenatchee,47.42,-120.29,4.7,71,60.8,90
8,Coquimbo,-29.95,-71.34,16.11,68,64.4,0
9,Cape Town,-33.93,18.42,12.75,88,64.4,0
10,Albany,42.65,-73.75,2.53,39,44.6,75
11,Te Anau,-45.41,167.72,8.23,79,45.85,64
12,High Level,58.52,-117.13,5.82,62,48.2,20
13,Challapata,-18.9,-66.78,4.99,38,56.38,8
14,Xingtai,37.07,114.49,7.45,41,42.16,0
15,Pisco,-13.71,-76.2,17.22,60,71.6,0
16,Ketchikan,55.34,-131.65,7.67,100,46.4,90
17,Ribeira Grande,38.52,-28.7,16.11,72,68.0,20
18,Santa Ana,13.99,-89.56,4.7,78,89.6,40
19,Hobart,-42.88,147.33,10.29,54,53.6,75
20,Zaraza,9.35,-65.33,12.82,47,92.07,20
21,Buala,-8.15,159.59,2.19,100,77.08,88
22,Acapulco,16.86,-99.88,6.93,74,86.0,20
23,Dikson,73.51,80.55,23.78,100,22.0,56
24,Punta Arenas,-53.16,-70.91,9.17,81,50.0,75
25,Rikitea,-23.12,-134.97,12.59,100,71.95,0
26,Bredasdorp,-34.53,20.04,8.05,88,68.0,68
27,Hovd,63.83,10.7,3.36,100,33.8,40
28,Simav,39.09,28.98,2.42,76,26.59,0
29,Thunder Bay,48.41,-89.26,14.99,93,41.0,90
30,Barrow,-38.31,-60.23,7.78,67,63.72,44
31,Atar,20.52,-13.05,3.42,23,86.49,80
32,Norman Wells,65.28,-126.83,11.41,92,28.4,75
33,Sivaki,52.63,126.75,8.57,80,29.2,92
34,Port Elizabeth,39.31,-74.98,6.93,61,51.8,90
35,Nikolskoye,59.7,30.79,2.24,86,33.8,32
36,Kapaa,22.08,-159.32,17.22,74,82.4,90
37,East London,-33.02,27.91,3.42,100,68.98,12
38,Coihueco,-36.63,-71.83,5.82,40,73.4,0
39,Havelock,34.88,-76.9,9.17,100,62.6,90
40,Fort Nelson,58.81,-122.69,2.24,60,39.2,75
41,Nong Bua,15.87,100.58,2.53,94,73.75,48
42,Bluff,-23.58,149.07,5.55,30,74.79,0
43,Sao Joao da Barra,-21.64,-41.05,11.41,94,73.4,90
44,Bara,10.41,10.6,1.63,65,78.57,64
45,Magistralnyy,56.17,107.45,4.21,88,29.2,76
46,Cassilandia,-19.11,-51.73,2.08,93,75.64,56
47,Poum,41.28,20.71,1.74,81,36.67,0
48,Jamu Mare,45.26,21.42,16.11,42,64.4,0
49,Fortuna,38.18,-1.13,1.12,82,68.0,0
50,Lompoc,34.64,-120.46,4.7,14,89.6,1
51,Ponta do Sol,-20.63,-46.0,11.14,83,72.31,88
52,Victoria,5.28,115.24,3.65,100,78.8,75
53,Mahebourg,-20.41,57.7,4.7,77,69.8,40
54,Mataura,-46.19,168.86,6.22,87,50.31,48
55,Bethel,60.79,-161.76,16.11,100,33.8,75
56,Puerto Ayora,-0.74,-90.35,19.46,65,77.0,0
57,Nome,30.04,-94.42,10.29,53,73.4,40
58,Leningradskiy,69.38,178.42,16.06,100,24.52,64
59,Hermanus,-34.42,19.24,4.54,76,66.28,8
60,Bessemer,33.4,-86.95,6.93,87,60.8,76
61,Lavrentiya,65.58,-170.99,30.38,100,33.07,0
62,Breytovo,58.3,37.86,9.13,85,26.64,20
63,Motala,58.54,15.04,11.41,100,35.6,92
64,Kavaratti,10.57,72.64,2.53,100,84.55,0
65,Taoudenni,22.68,-3.98,6.78,24,71.05,44
66,Qaanaaq,77.48,-69.36,10.8,100,6.34,64
67,Grindavik,63.84,-22.43,14.99,58,30.2,40
68,Fergus Falls,46.28,-96.08,4.7,100,51.8,90
69,Katsuura,33.93,134.5,10.47,100,63.04,64
70,Cabo San Lucas,22.89,-109.91,5.82,61,86.0,75
71,Hilo,19.71,-155.08,6.93,78,80.6,90
72,Busselton,-33.64,115.35,16.73,100,55.21,0
73,Vaini,15.34,74.49,6.44,61,69.12,8
74,Castro,-42.48,-73.76,7.67,98,54.4,92
75,Nosy Varika,-20.58,48.53,3.42,100,68.62,64
76,Jamestown,-33.21,138.6,3.65,72,51.84,88
77,Never,53.98,124.16,7.23,53,23.53,80
78,Kondagaon,19.59,81.66,2.75,76,60.39,12
79,Bambanglipuro,-7.95,110.28,2.08,96,68.08,20
80,Camocim,-2.9,-40.84,16.51,56,84.91,0
81,Ayan,40.67,33.6,2.08,76,20.11,8
82,Kruisfontein,-34.0,24.73,6.22,91,63.09,8
83,Miyako,33.63,130.94,13.87,52,64.4,40
84,Copacabana,6.35,-75.51,16.11,61,77.0,40
85,Husavik,50.56,-96.99,4.21,99,46.93,88
86,Whitehorse,60.72,-135.06,11.41,74,35.6,75
87,Kaitangata,-46.28,169.85,4.21,89,48.96,88
88,Khatanga,71.98,102.47,3.42,88,11.83,80
89,Guerrero Negro,27.97,-114.04,9.69,50,84.42,0
90,Rafaela,-31.25,-61.49,7.67,96,66.19,8
91,Deputatskiy,69.3,139.9,2.75,66,-9.95,64
92,Tiksi,71.64,128.87,2.98,87,-3.25,36
93,Ilam,33.64,46.42,9.17,82,59.0,75
94,San Juan,18.47,-66.12,16.11,66,84.2,40
95,El Alto,-16.5,-68.19,17.22,81,46.4,75
96,Saint George,39.45,22.34,4.7,76,51.8,0
97,Ekibastuz,51.72,75.32,4.76,64,28.26,0
98,Tuktoyaktuk,69.44,-133.03,10.29,92,23.0,90
99,Esperance,10.24,-61.45,13.87,70,86.0,40
100,Port Alfred,-33.59,26.89,2.98,97,66.01,12
101,Narsaq,60.91,-46.05,44.96,52,42.8,100
102,Chumikan,54.72,135.31,9.24,92,32.04,68
103,Dongsheng,29.72,112.52,4.09,68,45.54,0
104,Poronaysk,49.22,143.1,8.01,95,39.19,64
105,Walvis Bay,-22.95,14.51,3.36,38,77.0,0
106,Isangel,-19.55,169.27,3.53,100,75.82,12
107,Tasiilaq,65.61,-37.64,19.46,68,30.2,92
108,Santiago,-33.44,-70.65,10.29,15,80.6,0
109,Upernavik,72.79,-56.15,23.89,100,19.62,0
110,Thompson,55.74,-97.86,4.7,80,30.2,90
111,Hervey Bay,-25.3,152.85,11.25,95,74.29,8
112,San Cristobal,-0.39,-78.55,9.17,52,69.8,75
113,Port Hardy,50.7,-127.42,5.82,81,53.6,75
114,Martapura,-3.41,114.85,3.76,100,74.47,20
115,Haukipudas,65.17,25.5,5.82,100,32.0,24
116,Rosario do Sul,-30.26,-54.91,14.83,90,67.27,80
117,Yellowknife,62.45,-114.38,5.82,80,39.2,20
